#Data tag : 19v3 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/pb),recorded(/pb)
273158:4915,05/11/16 20:42:35,1279,HLT_IsoMu24_v1,53.513703985,50.239487576
273302:4919,05/13/16 02:13:38,459,HLT_IsoMu24_v1,17.011129690,16.319201797
273402:4924,05/14/16 01:49:19,193,HLT_IsoMu24_v1,6.960092864,6.584577453
273403:4924,05/14/16 03:05:27,53,HLT_IsoMu24_v1,1.918049647,1.820958598
273404:4924,05/14/16 03:31:50,18,HLT_IsoMu24_v1,0.646816656,0.610802647
273405:4924,05/14/16 03:42:33,24,HLT_IsoMu24_v1,0.859522737,0.799114113
273406:4924,05/14/16 03:56:09,112,HLT_IsoMu24_v1,3.952615924,3.773872424
273408:4924,05/14/16 04:52:04,6,HLT_IsoMu24_v1,0.208320844,0.180194854
273409:4924,05/14/16 04:56:41,309,HLT_IsoMu24_v1,10.508777629,9.442193251
273410:4924,05/14/16 06:59:49,90,HLT_IsoMu24_v1,2.970412762,2.729404628
273411:4924,05/14/16 07:38:50,29,HLT_IsoMu24_v1,0.784747006,0.734874842
273425:4925,05/14/16 11:17:57,671,HLT_IsoMu24_v1,28.098969696,26.716964288
273446:4926,05/14/16 20:06:55,33,HLT_IsoMu24_v1,2.289446140,2.140645567
273447:4926,05/14/16 20:26:09,411,HLT_IsoMu24_v1,27.217481074,25.912129133
273448:4926,05/14/16 23:11:51,391,HLT_IsoMu24_v1,23.818146063,22.661434184
273449:4926,05/15/16 01:50:28,208,HLT_IsoMu24_v1,11.937811485,11.394741853
273450:4926,05/15/16 03:19:37,643,HLT_IsoMu24_v1,33.610879141,32.182646500
273492:4930,05/16/16 09:07:35,265,HLT_IsoMu24_v1,12.673131455,12.131444179
273493:4930,05/16/16 10:55:49,230,HLT_IsoMu24_v1,10.778562106,10.359205060
273494:4930,05/16/16 12:28:40,192,HLT_IsoMu24_v1,8.715402523,8.433104783
273502:4935,05/16/16 20:00:07,989,HLT_IsoMu24_v1,48.600040941,46.801369039
273503:4935,05/17/16 02:31:25,598,HLT_IsoMu24_v1,26.150666880,25.345338369
273554:4942,05/18/16 05:30:44,361,HLT_IsoMu24_v1,27.813740496,26.672370697
273555:4942,05/18/16 07:55:51,173,HLT_IsoMu24_v1,12.560103639,12.154365843
273725:4947,05/20/16 02:37:26,2462,HLT_IsoMu24_v1,159.980014882,154.652659424
273728:4947,05/20/16 19:02:03,100,HLT_IsoMu24_v1,5.095678134,4.896773574
273730:4947,05/20/16 19:47:25,2121,HLT_IsoMu24_v1,88.764388344,86.490173122
274094:4953,05/27/16 02:21:04,225,HLT_IsoMu24_v1,10.116580879,9.734585999
274146:4956,05/27/16 22:11:21,64,HLT_IsoMu24_v1,5.393486868,5.119510777
274157:4958,05/28/16 11:50:04,426,HLT_IsoMu24_v1,41.087819487,38.994492830
274159:4958,05/28/16 14:43:47,43,HLT_IsoMu24_v1,4.019981159,3.561326269
274160:4958,05/28/16 15:02:52,207,HLT_IsoMu24_v1,17.884654571,17.146093482
274161:4958,05/28/16 16:26:18,516,HLT_IsoMu24_v1,43.671789947,42.175324937
274172:4960,05/29/16 00:45:19,65,HLT_IsoMu24_v1,6.009687892,5.248556692
274198:4961,05/29/16 20:00:35,111,HLT_IsoMu24_v1,11.867781026,10.904618977
274199:4961,05/29/16 20:45:19,623,HLT_IsoMu24_v1,67.596023762,64.926031458
274200:4961,05/30/16 00:53:47,674,HLT_IsoMu24_v1,61.981764569,60.141469278
274240:4964,05/30/16 13:59:19,81,HLT_IsoMu24_v1,10.404108801,9.821998437
274241:4964,05/30/16 14:43:35,1166,HLT_IsoMu24_v1,129.022884914,124.650261017
274244:4964,05/30/16 22:37:51,593,HLT_IsoMu24_v1,58.214821119,56.348324119
274250:4965,05/31/16 05:55:31,701,HLT_IsoMu24_v1,100.139505722,94.770694173
274251:4965,05/31/16 10:30:54,546,HLT_IsoMu24_v1,67.375579597,65.222033062
274283:4976,06/01/16 03:25:26,18,HLT_IsoMu24_v1,2.906252402,0.349871530
274284:4976,06/01/16 03:34:51,208,HLT_IsoMu24_v1,31.478753983,29.915776604
274286:4976,06/01/16 05:04:18,154,HLT_IsoMu24_v1,22.638343891,21.667949028
274314:4979,06/01/16 15:02:56,61,HLT_IsoMu24_v1,10.583724881,9.513722735
274315:4979,06/01/16 15:32:32,423,HLT_IsoMu24_v1,69.874333259,66.463689289
274316:4979,06/01/16 18:20:25,959,HLT_IsoMu24_v1,134.906019785,130.421463599
274317:4979,06/02/16 00:39:53,3,HLT_IsoMu24_v1,0.385846775,0.301283908
274319:4979,06/02/16 00:56:19,225,HLT_IsoMu24_v1,28.227875154,27.302058183
274335:4980,06/02/16 09:10:43,944,HLT_IsoMu24_v1,149.036053876,142.702397511
274336:4980,06/02/16 15:25:02,14,HLT_IsoMu24_v1,2.006589085,1.741816214
274337:4980,06/02/16 15:33:18,15,HLT_IsoMu24_v1,2.139555891,1.781505151
274338:4980,06/02/16 15:41:22,698,HLT_IsoMu24_v1,94.340561868,88.970991467
274339:4980,06/02/16 20:15:40,90,HLT_IsoMu24_v1,11.255749082,10.806226745
274344:4980,06/02/16 21:29:06,627,HLT_IsoMu24_v1,72.349026288,69.946654840
274345:4980,06/03/16 01:37:46,170,HLT_IsoMu24_v1,18.291681058,17.733284738
274382:4984,06/03/16 15:37:56,51,HLT_IsoMu24_v1,7.980393837,7.428113198
274387:4985,06/03/16 19:10:09,352,HLT_IsoMu24_v1,61.757160917,58.230925462
274388:4985,06/03/16 21:32:38,1820,HLT_IsoMu24_v1,263.657760036,254.143127693
274420:4988,06/04/16 20:17:21,175,HLT_IsoMu24_v1,29.511407656,28.085763446
274421:4988,06/04/16 21:28:04,342,HLT_IsoMu24_v1,56.165832417,53.901679022
274422:4988,06/04/16 23:46:51,2207,HLT_IsoMu24_v1,285.808233386,277.137366480
274440:4990,06/05/16 19:32:38,402,HLT_IsoMu24_v1,66.257852300,63.546059058
274441:4990,06/05/16 22:13:06,431,HLT_IsoMu24_v1,66.088986921,63.938476500
274442:4990,06/06/16 01:05:09,752,HLT_IsoMu24_v1,102.312567991,98.981811820
274954:5005,06/11/16 09:40:51,20,HLT_IsoMu24_v2,1.158411114,0.964180375
274955:5005,06/11/16 09:52:07,91,HLT_IsoMu24_v2,5.000987802,4.770955418
274968:5013,06/11/16 22:51:22,1192,HLT_IsoMu24_v2,202.639807252,193.775922766
274969:5013,06/12/16 06:41:54,1003,HLT_IsoMu24_v2,135.797327826,126.581145674
274970:5013,06/12/16 13:12:54,47,HLT_IsoMu24_v2,5.693241215,4.298671972
274971:5013,06/12/16 13:33:30,905,HLT_IsoMu24_v2,100.725654545,97.616535644
274998:5017,06/13/16 04:19:54,719,HLT_IsoMu24_v2,119.553606101,113.023752453
274999:5017,06/13/16 09:04:45,1241,HLT_IsoMu24_v2,168.573292587,162.759022647
275000:5017,06/13/16 17:15:35,136,HLT_IsoMu24_v2,16.331565067,15.808373810
275001:5017,06/13/16 18:12:42,2057,HLT_IsoMu24_v2,202.940250087,197.660420704
275059:5020,06/14/16 16:49:52,37,HLT_IsoMu24_v2,6.719889176,6.094489243
275066:5020,06/14/16 17:45:35,96,HLT_IsoMu24_v2,19.255843966,18.301980901
275067:5020,06/14/16 18:28:40,392,HLT_IsoMu24_v2,73.740090867,71.046000095
275068:5020,06/14/16 21:06:59,915,HLT_IsoMu24_v2,148.129203702,142.426185427
275073:5020,06/15/16 03:33:57,517,HLT_IsoMu24_v2,70.659634479,68.166579916
275074:5020,06/15/16 06:58:09,646,HLT_IsoMu24_v2,78.401733928,75.957762662
275124:5021,06/15/16 17:50:26,325,HLT_IsoMu24_v2,58.742279594,56.104012184
275125:5021,06/15/16 20:00:21,989,HLT_IsoMu24_v2,155.960933008,149.289554910
275282:5024,06/17/16 00:06:15,90,HLT_IsoMu24_v2,15.571031997,14.753424131
275283:5024,06/17/16 00:43:11,132,HLT_IsoMu24_v2,23.329904913,22.215007942
275284:5024,06/17/16 01:36:53,74,HLT_IsoMu24_v2,12.802831878,12.326313617
275290:5024,06/17/16 03:58:56,48,HLT_IsoMu24_v2,7.625354128,2.653991547
275291:5024,06/17/16 04:28:35,347,HLT_IsoMu24_v2,52.931321550,51.239142971
275292:5024,06/17/16 06:46:47,121,HLT_IsoMu24_v2,16.297461062,15.533065282
275293:5024,06/17/16 07:37:27,200,HLT_IsoMu24_v2,25.785580405,24.911715338
275309:5026,06/17/16 13:48:15,563,HLT_IsoMu24_v2,85.067986608,81.968831496
275310:5026,06/17/16 17:32:53,1929,HLT_IsoMu24_v2,228.952183107,221.971321072
