#Data tag : 19v3 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/pb),recorded(/pb)
273158:4915,05/11/16 20:42:35,1279,HLT_ZeroBias_v2,0.000158091,0.000148418
273302:4919,05/13/16 02:13:38,459,HLT_ZeroBias_v2,0.000050254,0.000048210
273402:4924,05/14/16 01:49:19,193,HLT_ZeroBias_v2,0.000020562,0.000019452
273403:4924,05/14/16 03:05:27,53,HLT_ZeroBias_v2,0.000005666,0.000005379
273404:4924,05/14/16 03:31:50,18,HLT_ZeroBias_v2,0.000001911,0.000001804
273405:4924,05/14/16 03:42:33,24,HLT_ZeroBias_v2,0.000002539,0.000002361
273406:4924,05/14/16 03:56:09,112,HLT_ZeroBias_v2,0.000011677,0.000011149
273408:4924,05/14/16 04:52:04,6,HLT_ZeroBias_v2,0.000307712,0.000266167
273409:4924,05/14/16 04:56:41,309,HLT_ZeroBias_v2,0.000031045,0.000027894
273410:4924,05/14/16 06:59:49,90,HLT_ZeroBias_v2,0.000008775,0.000008063
273411:4924,05/14/16 07:38:50,29,HLT_ZeroBias_v2,0.000002318,0.000002171
273425:4925,05/14/16 11:17:57,671,HLT_ZeroBias_v2,0.000083010,0.000078928
273446:4926,05/14/16 20:06:55,33,HLT_ZeroBias_v2,0.000004627,0.000004326
273447:4926,05/14/16 20:26:09,411,HLT_ZeroBias_v2,0.000055001,0.000052364
273448:4926,05/14/16 23:11:51,391,HLT_ZeroBias_v2,0.000047052,0.000044784
273449:4926,05/15/16 01:48:09,214,HLT_ZeroBias_v2,0.000007452,0.000007109
273450:4926,05/15/16 03:19:37,643,HLT_ZeroBias_v2,0.000020376,0.000019511
273492:4930,05/16/16 09:07:35,265,HLT_ZeroBias_v2,0.000025610,0.000024515
273493:4930,05/16/16 10:54:39,233,HLT_ZeroBias_v2,0.000021868,0.000021016
273494:4930,05/16/16 12:28:40,192,HLT_ZeroBias_v2,0.000017612,0.000017042
273502:4935,05/16/16 20:00:07,989,HLT_ZeroBias_v2,0.000098212,0.000094577
273503:4935,05/17/16 02:31:25,598,HLT_ZeroBias_v2,0.000052846,0.000051218
273554:4942,05/18/16 05:30:44,361,HLT_ZeroBias_v2,0.000042142,0.000040413
273555:4942,05/18/16 07:55:51,173,HLT_ZeroBias_v2,0.000019030,0.000018416
273725:4947,05/20/16 02:37:26,2462,HLT_ZeroBias_v2,0.000241899,0.000233844
273728:4947,05/20/16 19:02:03,100,HLT_ZeroBias_v2,0.000007705,0.000007404
273730:4947,05/20/16 19:47:25,2121,HLT_ZeroBias_v2,0.000134217,0.000130778
274094:4953,05/27/16 02:21:04,225,HLT_ZeroBias_v2,0.000030615,0.000029459
274146:4956,05/27/16 22:10:11,67,HLT_ZeroBias_v2,0.000008272,0.000007856
274157:4958,05/28/16 11:50:04,430,HLT_ZeroBias_v2,0.000051605,0.000048975
274159:4958,05/28/16 14:43:47,43,HLT_ZeroBias_v2,0.000005035,0.000004460
274160:4958,05/28/16 15:02:52,207,HLT_ZeroBias_v2,0.000022399,0.000021474
274161:4958,05/28/16 16:26:18,516,HLT_ZeroBias_v2,0.000054696,0.000052821
274172:4960,05/29/16 00:45:19,65,HLT_ZeroBias_v2,0.000006432,0.000005617
274198:4961,05/29/16 20:00:35,111,HLT_ZeroBias_v2,0.000012702,0.000011671
274199:4961,05/29/16 20:45:19,623,HLT_ZeroBias_v2,0.000072346,0.000069488
274200:4961,05/30/16 00:52:14,678,HLT_ZeroBias_v2,0.000066470,0.000064496
274240:4964,05/30/16 13:59:19,81,HLT_ZeroBias_v2,0.000011135,0.000010512
274241:4964,05/30/16 14:43:35,1166,HLT_ZeroBias_v2,0.000138088,0.000133409
274244:4964,05/30/16 22:34:22,607,HLT_ZeroBias_v2,0.000062764,0.000060759
274250:4965,05/31/16 05:55:31,701,HLT_ZeroBias_v2,0.000060207,0.000056979
274251:4965,05/31/16 10:30:54,546,HLT_ZeroBias_v2,0.000053539,0.000051817
274283:4976,06/01/16 03:25:26,18,HLT_ZeroBias_v2,0.000006826,0.000000822
274284:4976,06/01/16 03:34:51,208,HLT_ZeroBias_v2,0.000073930,0.000070259
274286:4976,06/01/16 05:04:18,154,HLT_ZeroBias_v2,0.000053168,0.000050889
274314:4979,06/01/16 15:02:56,61,HLT_ZeroBias_v2,0.000047463,0.000042664
274315:4979,06/01/16 15:32:32,423,HLT_ZeroBias_v2,0.000313352,0.000298057
274316:4979,06/01/16 18:20:25,959,HLT_ZeroBias_v2,0.000604987,0.000584876
274317:4979,06/02/16 00:39:53,3,HLT_ZeroBias_v2,0.000025955,0.000020267
274319:4979,06/02/16 00:56:19,225,HLT_ZeroBias_v2,0.000126588,0.000122436
274335:4980,06/02/16 09:10:43,944,HLT_ZeroBias_v2,0.000668353,0.000639950
274336:4980,06/02/16 15:25:02,14,HLT_ZeroBias_v2,0.000008999,0.000007811
274337:4980,06/02/16 15:33:18,15,HLT_ZeroBias_v2,0.000009595,0.000007989
274338:4980,06/02/16 15:41:22,698,HLT_ZeroBias_v2,0.000622846,0.000587072
274339:4980,06/02/16 20:15:40,90,HLT_ZeroBias_v2,0.000075048,0.000072051
274344:4980,06/02/16 21:27:09,632,HLT_ZeroBias_v2,0.000483750,0.000467693
274345:4980,06/03/16 01:37:46,170,HLT_ZeroBias_v2,0.000121961,0.000118238
274382:4984,06/03/16 15:37:56,51,HLT_ZeroBias_v2,0.000035438,0.000032985
274387:4985,06/03/16 19:10:09,352,HLT_ZeroBias_v2,0.000274239,0.000258580
274388:4985,06/03/16 21:32:38,1820,HLT_ZeroBias_v2,0.001171434,0.001129162
274420:4988,06/04/16 20:17:21,175,HLT_ZeroBias_v2,0.000131048,0.000124718
274421:4988,06/04/16 21:28:04,342,HLT_ZeroBias_v2,0.000249410,0.000239356
274422:4988,06/04/16 23:46:51,2207,HLT_ZeroBias_v2,0.001270183,0.001231649
274440:4990,06/05/16 19:32:38,402,HLT_ZeroBias_v2,0.000294224,0.000282182
274441:4990,06/05/16 22:13:06,431,HLT_ZeroBias_v2,0.000293540,0.000283988
274442:4990,06/06/16 01:05:09,752,HLT_ZeroBias_v2,0.000454783,0.000439978
274954:5005,06/11/16 09:40:51,20,HLT_ZeroBias_v3,0.000017261,0.000014367
274955:5005,06/11/16 09:52:07,91,HLT_ZeroBias_v3,0.000074519,0.000071092
274968:5013,06/11/16 22:51:22,1192,HLT_ZeroBias_v3,0.000899842,0.000860481
274969:5013,06/12/16 06:41:54,1003,HLT_ZeroBias_v3,0.000603549,0.000562586
274970:5013,06/12/16 13:12:54,47,HLT_ZeroBias_v3,0.000025307,0.000019108
274971:5013,06/12/16 13:33:30,905,HLT_ZeroBias_v3,0.000447729,0.000433909
274998:5017,06/13/16 04:19:54,719,HLT_ZeroBias_v3,0.000053089,0.000050189
274999:5017,06/13/16 09:04:45,1241,HLT_ZeroBias_v3,0.000074917,0.000072333
275000:5017,06/13/16 17:15:35,136,HLT_ZeroBias_v3,0.000007259,0.000007027
275001:5017,06/13/16 18:12:42,2057,HLT_ZeroBias_v3,0.000090208,0.000087861
275059:5020,06/14/16 16:49:52,37,HLT_ZeroBias_v3,0.000002984,0.000002706
275066:5020,06/14/16 17:45:35,96,HLT_ZeroBias_v3,0.000008551,0.000008127
275067:5020,06/14/16 18:28:40,392,HLT_ZeroBias_v3,0.000032745,0.000031549
275068:5020,06/14/16 21:06:59,915,HLT_ZeroBias_v3,0.000065784,0.000063251
275073:5020,06/15/16 03:33:57,517,HLT_ZeroBias_v3,0.000031408,0.000030300
275074:5020,06/15/16 06:58:09,646,HLT_ZeroBias_v3,0.000034850,0.000033764
275124:5021,06/15/16 17:50:26,325,HLT_ZeroBias_v3,0.000026085,0.000024914
275125:5021,06/15/16 20:00:21,989,HLT_ZeroBias_v3,0.000069271,0.000066308
275282:5024,06/17/16 00:06:15,90,HLT_ZeroBias_v3,0.000006914,0.000006551
275283:5024,06/17/16 00:43:11,132,HLT_ZeroBias_v3,0.000010360,0.000009865
275284:5024,06/17/16 01:36:53,74,HLT_ZeroBias_v3,0.000005685,0.000005474
275290:5024,06/17/16 03:58:56,48,HLT_ZeroBias_v3,0.000003386,0.000001179
275291:5024,06/17/16 04:28:35,347,HLT_ZeroBias_v3,0.000023509,0.000022758
275292:5024,06/17/16 06:46:47,121,HLT_ZeroBias_v3,0.000007244,0.000006905
275293:5024,06/17/16 07:37:27,200,HLT_ZeroBias_v3,0.000011462,0.000011073
275309:5026,06/17/16 13:48:15,563,HLT_ZeroBias_v3,0.000037791,0.000036414
275310:5026,06/17/16 17:32:53,1929,HLT_ZeroBias_v3,0.000101770,0.000098667
275311:5026,06/18/16 06:07:07,1253,HLT_ZeroBias_v3,0.000048788,0.000047626
275319:5027,06/18/16 18:56:15,142,HLT_ZeroBias_v3,0.000011421,0.000010835
275337:5027,06/18/16 21:26:04,427,HLT_ZeroBias_v3,0.000031592,0.000030337
275338:5027,06/19/16 00:15:37,520,HLT_ZeroBias_v3,0.000034452,0.000033338
275344:5028,06/19/16 08:18:25,281,HLT_ZeroBias_v3,0.000023213,0.000022295
275345:5028,06/19/16 10:12:11,353,HLT_ZeroBias_v3,0.000027545,0.000026340
275370:5029,06/19/16 16:19:29,285,HLT_ZeroBias_v3,0.000024079,0.000022895
275371:5029,06/19/16 18:16:49,564,HLT_ZeroBias_v3,0.000043637,0.000041760
275375:5030,06/20/16 02:17:12,1323,HLT_ZeroBias_v3,0.000094783,0.000091258
275376:5030,06/20/16 10:55:04,3095,HLT_ZeroBias_v3,0.000147513,0.000143648
275657:5038,06/24/16 03:33:42,105,HLT_ZeroBias_v3,0.000008955,0.000008202
275658:5038,06/24/16 04:17:17,337,HLT_ZeroBias_v3,0.000027789,0.000026302
275659:5038,06/24/16 06:31:38,17,HLT_ZeroBias_v3,0.000001458,0.000001408
275761:5043,06/25/16 04:25:26,9,HLT_ZeroBias_v3,0.000000845,0.000000740
275767:5043,06/25/16 05:32:46,4,HLT_ZeroBias_v3,0.000053827,0.000047560
275772:5043,06/25/16 06:29:27,56,HLT_ZeroBias_v3,0.000004711,0.000004531
275773:5043,06/25/16 06:53:33,7,HLT_ZeroBias_v3,0.000088165,0.000078696
275774:5043,06/25/16 07:01:55,312,HLT_ZeroBias_v3,0.000025574,0.000024449
275776:5043,06/25/16 09:11:23,140,HLT_ZeroBias_v3,0.000010877,0.000010327
275777:5043,06/25/16 10:12:24,300,HLT_ZeroBias_v3,0.000022158,0.000021277
275778:5043,06/25/16 12:13:15,305,HLT_ZeroBias_v3,0.000021065,0.000020305
275782:5043,06/25/16 14:44:49,761,HLT_ZeroBias_v3,0.000045963,0.000044243
275832:5045,06/26/16 17:18:04,367,HLT_ZeroBias_v3,0.000034399,0.000032251
275833:5045,06/26/16 19:45:07,248,HLT_ZeroBias_v3,0.000021341,0.000020568
275834:5045,06/26/16 21:26:02,297,HLT_ZeroBias_v3,0.000023965,0.000023063
275835:5045,06/26/16 23:24:23,13,HLT_ZeroBias_v3,0.000001008,0.000000919
275836:5045,06/26/16 23:32:00,1277,HLT_ZeroBias_v3,0.000085941,0.000082019
275837:5045,06/27/16 07:59:11,715,HLT_ZeroBias_v3,0.000038243,0.000037090
275847:5045,06/27/16 13:59:22,2263,HLT_ZeroBias_v3,0.000090595,0.000088433
275886:5048,06/28/16 08:40:35,37,HLT_ZeroBias_v3,0.000003576,0.000003367
275890:5048,06/28/16 09:27:45,1393,HLT_ZeroBias_v3,0.000108776,0.000104452
275911:5052,06/29/16 01:49:35,377,HLT_ZeroBias_v3,0.000033941,0.000032501
275912:5052,06/29/16 04:21:23,289,HLT_ZeroBias_v3,0.000023979,0.000023053
275913:5052,06/29/16 06:19:55,475,HLT_ZeroBias_v3,0.000035807,0.000034030
275918:5052,06/29/16 09:29:20,332,HLT_ZeroBias_v3,0.000022860,0.000022074
275920:5052,06/29/16 11:56:25,459,HLT_ZeroBias_v3,0.000028353,0.000027227
275921:5052,06/29/16 14:59:30,8,HLT_ZeroBias_v3,0.000000476,0.000000446
275923:5052,06/29/16 15:17:42,114,HLT_ZeroBias_v3,0.000006638,0.000006445
275931:5052,06/29/16 16:34:22,85,HLT_ZeroBias_v3,0.000004766,0.000004631
275963:5056,06/30/16 01:02:54,90,HLT_ZeroBias_v3,0.000009165,0.000008683
276092:5060,07/01/16 02:14:32,76,HLT_ZeroBias_v3,0.000007008,0.000006558
276097:5060,07/01/16 03:07:31,507,HLT_ZeroBias_v3,0.000045999,0.000044142
276242:5069,07/02/16 14:05:34,1644,HLT_ZeroBias_v3,0.000125394,0.000119358
276243:5069,07/03/16 00:56:20,608,HLT_ZeroBias_v3,0.000036675,0.000034589
276244:5069,07/03/16 05:04:17,1200,HLT_ZeroBias_v3,0.000061070,0.000058892
276282:5071,07/03/16 18:15:01,1066,HLT_ZeroBias_v4,0.000095184,0.000091309
276283:5071,07/04/16 01:14:13,1085,HLT_ZeroBias_v4,0.000077108,0.000074163
276315:5072,07/04/16 11:19:05,176,HLT_ZeroBias_v4,0.000015963,0.000015121
276317:5072,07/04/16 12:33:38,136,HLT_ZeroBias_v4,0.000012120,0.000011686
276318:5072,07/04/16 13:30:33,566,HLT_ZeroBias_v4,0.000045054,0.000043513
276355:5073,07/04/16 21:39:48,33,HLT_ZeroBias_v4,0.000002874,0.000002755
276361:5073,07/04/16 22:36:15,824,HLT_ZeroBias_v4,0.000069003,0.000066371
276363:5073,07/05/16 04:07:36,1478,HLT_ZeroBias_v4,0.000095889,0.000091700
276384:5073,07/05/16 13:47:06,1116,HLT_ZeroBias_v4,0.000055602,0.000054015
276437:5076,07/06/16 02:58:47,2125,HLT_ZeroBias_v4,0.000164260,0.000157965
276454:5076,07/06/16 18:08:15,527,HLT_ZeroBias_v4,0.000029259,0.000028414
276458:5076,07/07/16 02:00:22,341,HLT_ZeroBias_v4,0.000015090,0.000014744
276495:5078,07/07/16 11:20:57,182,HLT_ZeroBias_v4,0.000017709,0.000016902
276501:5078,07/07/16 12:47:40,2543,HLT_ZeroBias_v4,0.000185056,0.000178345
276502:5078,07/08/16 05:21:18,740,HLT_ZeroBias_v4,0.000039118,0.000037942
276525:5080,07/08/16 14:15:18,2786,HLT_ZeroBias_v4,0.000185076,0.000178882
276527:5080,07/09/16 08:34:41,214,HLT_ZeroBias_v4,0.000010281,0.000009960
276528:5080,07/09/16 10:01:49,391,HLT_ZeroBias_v4,0.000017500,0.000017047
276542:5083,07/09/16 16:32:22,784,HLT_ZeroBias_v4,0.000069295,0.000065917
276543:5083,07/09/16 21:39:40,948,HLT_ZeroBias_v4,0.000068244,0.000065786
276544:5083,07/10/16 03:53:47,160,HLT_ZeroBias_v4,0.000010178,0.000009776
276545:5083,07/10/16 04:59:24,206,HLT_ZeroBias_v4,0.000012254,0.000011835
276581:5085,07/10/16 12:24:16,366,HLT_ZeroBias_v4,0.000034255,0.000032888
276582:5085,07/10/16 14:52:52,871,HLT_ZeroBias_v4,0.000068964,0.000066612
276583:5085,07/10/16 20:34:28,52,HLT_ZeroBias_v4,0.000003668,0.000003481
276584:5085,07/10/16 20:59:17,2,HLT_ZeroBias_v4,0.000021050,0.000011505
276585:5085,07/10/16 21:31:21,242,HLT_ZeroBias_v4,0.000016170,0.000015496
276586:5085,07/10/16 23:10:31,751,HLT_ZeroBias_v4,0.000044532,0.000043070
276587:5085,07/11/16 04:23:51,1006,HLT_ZeroBias_v4,0.000049612,0.000047837
276653:5091,07/12/16 00:13:18,479,HLT_ZeroBias_v4,0.000039683,0.000038242
276655:5091,07/12/16 03:27:37,1105,HLT_ZeroBias_v4,0.000076050,0.000071440
276659:5091,07/12/16 10:40:23,251,HLT_ZeroBias_v4,0.000014543,0.000013308
276775:5093,07/12/16 21:26:20,1165,HLT_ZeroBias_v4,0.000097037,0.000092080
276776:5093,07/13/16 05:02:29,1823,HLT_ZeroBias_v4,0.000108717,0.000105025
276794:5093,07/13/16 17:05:19,885,HLT_ZeroBias_v4,0.000039776,0.000038763
276807:5095,07/14/16 03:24:10,155,HLT_ZeroBias_v4,0.000014332,0.000013518
276808:5095,07/14/16 04:28:59,875,HLT_ZeroBias_v4,0.000072902,0.000070098
